LOCATION,TIME,Value
DEU,1993,2395.31
DEU,1994,2207.495
DEU,1995,2183.748
DEU,1996,2112.054
DEU,1997,2047.9389999999999
DEU,1998,2024.1570000000002
DEU,1999,1998.23
DEU,2000,1946.9779999999998
DEU,2001,1869.318
DEU,2002,1793.5810000000001
DEU,2003,1736.951
DEU,2004,1658.4779999999998
DEU,2005,1583.865
DEU,2006,1573.25
DEU,2007,1503.64
DEU,2008,1428.586
DEU,2009,1330.579
DEU,2010,1355.2089999999998
DEU,2011,1338.3039999999999
DEU,2012,1305.106
DEU,2013,1306.798
DEU,2014,1270.846
DEU,2015,1247.202
DEU,2016,1221.375
DEU,2017,1184.388
GRC,1990,407.835
GRC,1991,407.85
GRC,1992,415.361
GRC,1993,406.16
GRC,1994,414.162
GRC,1995,400.805
GRC,1996,407.411
GRC,1997,422.844
GRC,1998,452.459
GRC,1999,446.555
GRC,2000,429.61300000000006
GRC,2001,456.85400000000004
GRC,2002,450.86
GRC,2003,460.654
GRC,2004,465.226
GRC,2005,482.81699999999995
GRC,2006,486.195
GRC,2007,483.865
GRC,2008,456.858
GRC,2009,440.84
GRC,2010,365.51099999999997
GRC,2011,327.481
GRC,2012,287.67400000000004
GRC,2013,273.561
GRC,2014,269.402
GRC,2015,264.389
GRC,2016,264.175
GRC,2017,269.762
HUN,1990,241.43400000000003
HUN,1991,211.72400000000002
HUN,1992,190.66099999999997
HUN,1993,191.563
HUN,1994,190.363
HUN,1995,187.90200000000002
HUN,1996,191.29
HUN,1997,193.487
HUN,1998,192.545
HUN,1999,197.87
HUN,2000,184.916
HUN,2001,184.92
HUN,2002,177.213
HUN,2003,180.79
HUN,2004,178.65
HUN,2005,175.86700000000002
HUN,2006,168.15599999999998
HUN,2007,164.213
HUN,2008,158.577
HUN,2009,147.542
HUN,2010,144.442
HUN,2011,134.628
HUN,2012,126.73200000000001
HUN,2013,124.29799999999999
HUN,2014,122.137
HUN,2015,123.954
HUN,2016,116.40700000000001
HUN,2017,118.75299999999999
ISL,1990,31.385
ISL,1991,30.162
ISL,1992,32.631
ISL,1993,34.532
ISL,1994,34.099000000000004
ISL,1995,34.83
ISL,1996,35.641999999999996
ISL,1997,34.789
ISL,1998,33.994
ISL,1999,32.976
ISL,2000,33.153
ISL,2001,29.594
ISL,2002,31.733
ISL,2003,31.113000000000003
ISL,2004,32.061
ISL,2005,28.608
ISL,2006,28.275
ISL,2007,30.921999999999997
ISL,2008,28.474
ISL,2009,28.288
ISL,2010,26.704
ISL,2011,24.178
ISL,2012,24.111
ISL,2013,23.228
ISL,2014,23.076999999999998
ISL,2015,23.61
ISL,2016,21.541
ISL,2017,21.967
IRL,1990,168.761
IRL,1991,170.90099999999998
